"surface","route","bp","width","scrollWidth","innerWidth","noHScroll","targetsMeasured","under24","under24detail","under44","under44detail"
"dispute-initiation","/mediation/dispute/new","tablet-768","768","768","768","true","24","7","[""label\""Referenced swap\"" 736x14"",""label\""Goods not received\"" 630.4x14"",""label\""Goods not as described\"" 460.1x14"",""label\""Settlement mismatch\"" 490.6x14"",""label\""Authorization disagreement\"" 542.9x14"",""label\""Other (evidence required)\"" 555.1x14"",""label\""Your account of what happened\"" 736x14""]","0","[]"
"dispute-initiation","/mediation/dispute/new","desktop-1440","1440","1440","1440","true","24","7","[""label\""Referenced swap\"" 1408x14"",""label\""Goods not received\"" 630.4x14"",""label\""Goods not as described\"" 460.1x14"",""label\""Settlement mismatch\"" 490.6x14"",""label\""Authorization disagreement\"" 542.9x14"",""label\""Other (evidence required)\"" 555.1x14"",""label\""Your account of what happened\"" 1408x14""]","0","[]"
"dispute-detail","/mediation/dispute/D-201","mobile-390","390","390","390","true","15","1","[""a\""Swap tracking record SW-2038\"" 185.1x14""]","0","[]"
"dispute-detail","/mediation/dispute/D-201","tablet-768","768","768","768","true","15","1","[""a\""Swap tracking record SW-2038\"" 185.1x14""]","0","[]"
"dispute-detail","/mediation/dispute/D-201","desktop-1440","1440","1440","1440","true","15","1","[""a\""Swap tracking record SW-2038\"" 185.1x14""]","0","[]"
"proposal-review","/mediation/proposal/P-001","mobile-390","390","390","390","true","12","0","[]","0","[]"
"proposal-review","/mediation/proposal/P-001","tablet-768","768","768","768","true","12","0","[]","0","[]"
"proposal-review","/mediation/proposal/P-001","desktop-1440","1440","1440","1440","true","12","0","[]","0","[]"
"verification-intent-flow","/verification/intent-flow","mobile-390","390","390","390","true","37","2","[""label\""Next submit outcome (mock script)\"" 326x14"",""label\""Authority reachable\"" 118.7x16""]","0","[]"
"verification-intent-flow","/verification/intent-flow","tablet-768","768","768","768","true","37","2","[""label\""Next submit outcome (mock script)\"" 392.3x14"",""label\""Authority reachable\"" 118.7x16""]","0","[]"
"verification-intent-flow","/verification/intent-flow","desktop-1440","1440","1440","1440","true","37","2","[""label\""Next submit outcome (mock script)\"" 648.3x14"",""label\""Authority reachable\"" 118.7x16""]","0","[]"
"verification-checkout-flow","/verification/checkout-flow","mobile-390","390","390","390","true","68","0","[]","0","[]"
"verification-checkout-flow","/verification/checkout-flow","tablet-768","768","768","768","true","68","0","[]","0","[]"
"verification-checkout-flow","/verification/checkout-flow","desktop-1440","1440","1440","1440","true","68","0","[]","0","[]"
"verification-capability-flow","/verification/capability-flow","mobile-390","390","390","390","true","17","3","[""label\""Capability Registry\"" 136x14"",""label\""Routing Table\"" 100.5x14"",""label\""Corridor Directory\"" 143x14""]","0","[]"
"verification-capability-flow","/verification/capability-flow","tablet-768","768","768","768","true","17","3","[""label\""Capability Registry\"" 136x14"",""label\""Routing Table\"" 100.5x14"",""label\""Corridor Directory\"" 143x14""]","0","[]"
"verification-capability-flow","/verification/capability-flow","desktop-1440","1440","1440","1440","true","17","3","[""label\""Capability Registry\"" 136x14"",""label\""Routing Table\"" 100.5x14"",""label\""Corridor Directory\"" 143x14""]","0","[]"
"verification-liquidity-flow","/verification/liquidity-flow","mobile-390","390","390","390","true","72","4","[""a\""/liquidity\"" 60.7x16"",""a\""/oversight\"" 70.4x16"",""a\""/oversight\"" 70.4x16"",""a\""/liquidity\"" 60.7x16""]","0","[]"
"verification-liquidity-flow","/verification/liquidity-flow","tablet-768","768","768","768","true","72","4","[""a\""/liquidity\"" 60.7x16"",""a\""/oversight\"" 70.4x16"",""a\""/oversight\"" 70.4x16"",""a\""/liquidity\"" 60.7x16""]","0","[]"
"verification-liquidity-flow","/verification/liquidity-flow","desktop-1440","1440","1440","1440","true","72","4","[""a\""/liquidity\"" 60.7x16"",""a\""/oversight\"" 70.4x16"",""a\""/oversight\"" 70.4x16"",""a\""/liquidity\"" 60.7x16""]","0","[]"
"verification-tracking-flow","/verification/tracking-flow","mobile-390","390","390","390","true","19","1","[""a\""/track/PWS-9QM2\"" 122.2x16""]","0","[]"
"verification-tracking-flow","/verification/tracking-flow","tablet-768","768","768","768","true","19","0","[]","1","[""a\""/track/PWS-9QM2\"" 658.7x36""]"
"verification-tracking-flow","/verification/tracking-flow","desktop-1440","1440","1440","1440","true","19","1","[""a\""/track/PWS-9QM2\"" 122.2x16""]","0","[]"
"verification-waiting-flow","/verification/waiting-flow","mobile-390","390","390","390","true","33","0","[]","0","[]"
"verification-waiting-flow","/verification/waiting-flow","tablet-768","768","768","768","true","33","0","[]","0","[]"
"verification-waiting-flow","/verification/waiting-flow","desktop-1440","1440","1440","1440","true","33","0","[]","0","[]"
"verification-mediation-flow","/verification/mediation-flow","mobile-390","390","390","390","true","55","7","[""label\""Referenced swap\"" 326x14"",""label\""Goods not received\"" 272x14"",""label\""Goods not as described\"" 272x14"",""label\""Settlement mismatch\"" 272x14"",""label\""Authorization disagreement\"" 272x14"",""label\""Other (evidence required)\"" 272x14"",""label\""Your account of what happened\"" 326x14""]","0","[]"
"verification-mediation-flow","/verification/mediation-flow","tablet-768","768","768","768","true","55","7","[""label\""Referenced swap\"" 704x14"",""label\""Goods not received\"" 630.4x14"",""label\""Goods not as described\"" 460.1x14"",""label\""Settlement mismatch\"" 490.6x14"",""label\""Authorization disagreement\"" 542.9x14"",""label\""Other (evidence required)\"" 555.1x14"",""label\""Your account of what happened\"" 704x14""]","0","[]"
"verification-mediation-flow","/verification/mediation-flow","desktop-1440","1440","1440","1440","true","55","7","[""label\""Referenced swap\"" 644x14"",""label\""Goods not received\"" 590x14"",""label\""Goods not as described\"" 460.1x14"",""label\""Settlement mismatch\"" 490.6x14"",""label\""Authorization disagreement\"" 542.9x14"",""label\""Other (evidence required)\"" 555.1x14"",""label\""Your account of what happened\"" 644x14""]","0","[]"
"not-found","/no-such-route-ui009","mobile-390","390","390","390","true","7","0","[]","0","[]"
"not-found","/no-such-route-ui009","tablet-768","768","768","768","true","7","0","[]","0","[]"
"not-found","/no-such-route-ui009","desktop-1440","1440","1440","1440","true","7","0","[]","0","[]"
